TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-14.jpg,MESCHA,0.5558,0.3581,,,0.7055,0.5479,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-14.jpg,SITTOR,0.4613,0.555,,,0.999,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-16.jpg,MESCHA,0.4402,0.2056,,,0.5508,0.3687,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-16.jpg,SITTOR,0.587,0.4947,,,0.9899,0.931,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-21.jpg,MESCHA,0.5286,0.4823,,,1.0,0.9629,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-23.jpg,MESBLE,0.0,0.1453,,,0.1267,0.5231,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-27.jpg,MESBLE,0.5417,0.5727,,,0.8362,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-36.jpg,MESCHA,0.7327,0.445,,,1.0,0.8441,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-58-48.jpg,MESCHA,0.7156,0.3954,,,1.0,0.8956,
VALIDATION,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-17.jpg,MESCHA,0.6091,0.3457,,,0.8874,0.7642,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-19.jpg,SITTOR,0.4462,0.6543,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-22.jpg,SITTOR,0.395,0.6011,,,0.9528,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-29.jpg,MESCHA,0.6412,0.257,,,1.0,0.8867,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-41.jpg,MESCHA,0.603,0.3369,,,0.999,0.8369,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-46.jpg,SITTOR,0.6543,0.445,,,1.0,0.9929,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-15-59-48.jpg,SITTOR,0.6593,0.4308,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-00-40.jpg,MESCHA,0.2488,0.0437,,,0.3469,0.2435,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-00-43.jpg,MESCHA,0.7126,0.4539,,,0.999,0.9983,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-11.jpg,MESCHA,0.7478,0.4663,,,1.0,0.9558,
VALIDATION,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-27.jpg,SITTOR,0.3598,0.6118,,,0.802,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-29.jpg,SITTOR,0.407,0.6064,,,0.7548,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-31.jpg,SITTOR,0.3859,0.4574,,,0.7236,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-33.jpg,SITTOR,0.2191,0.4485,,,0.8884,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-52.jpg,MESCHA,0.7407,0.4166,,,1.0,0.9966,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-01-54.jpg,MESCHA,0.6513,0.438,,,1.0,0.9718,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-02-10.jpg,SITTOR,0.7094,0.4975,,,0.999,0.9948,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-03-14.jpg,MESCHA,0.6231,0.3741,,,1.0,0.7696,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-03-19.jpg,MESCHA,0.0855,0.3812,,,0.2442,0.7182,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-03-36.jpg,SITTOR,0.4292,0.4769,,,0.8392,1.0,
VALIDATION,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-03-38.jpg,SITTOR,0.4884,0.4344,,,0.7357,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-01.jpg,MESCHA,0.1779,0.3014,,,0.4553,0.7005,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-08.jpg,MESCHA,0.188,0.3865,,,0.4905,0.7129,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-11.jpg,MESCHA,0.0543,0.3687,,,0.4664,0.7394,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-13.jpg,MESCHA,0.0,0.3653,,,0.2211,0.7749,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-17.jpg,MESCHA,0.5991,0.4912,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-19.jpg,MESCHA,0.3216,0.5585,,,0.3849,0.6827,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-24.jpg,MESCHA,0.7669,0.555,,,0.9649,0.8991,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-40.jpg,SITTOR,0.6181,0.5199,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-04-42.jpg,SITTOR,0.6062,0.5025,,,1.0,1.0,
VALIDATION,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-05-45.jpg,MESCHA,0.5658,0.3936,,,1.0,0.9984,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-05-47.jpg,MESCHA,0.5128,0.4582,,,1.0,0.9979,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-05-49.jpg,MESCHA,0.5347,0.4035,,,1.0,0.9771,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-05-52.jpg,MESBLE,0.5146,0.4788,,,0.9429,0.9754,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-05-59.jpg,SITTOR,0.001,0.4131,,,0.2764,0.8512,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-06-02.jpg,MESBLE,0.791,0.5632,,,0.997,0.9947,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-06-06.jpg,MESCHA,0.6151,0.5674,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-06-12.jpg,MESCHA,0.0784,0.3812,,,0.4895,0.7199,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-06-25.jpg,MESBLE,0.6153,0.6295,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-07-17.jpg,MESCHA,0.4774,0.0654,,,0.5829,0.2747,
VALIDATION,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-07-19.jpg,MESCHA,0.0,0.3979,,,0.1166,0.7377,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-07-33.jpg,MESCHA,0.5497,0.4699,,,1.0,0.9877,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-07-49.jpg,SITTOR,0.7327,0.5089,,,1.0,0.9984,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-07-51.jpg,SITTOR,0.6442,0.5053,,,1.0,0.9948,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-07-53.jpg,SITTOR,0.4945,0.4237,,,1.0,0.9753,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-08-37.jpg,SITTOR,0.6643,0.5284,,,0.9799,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-08-39.jpg,SITTOR,0.5122,0.4504,,,0.998,0.9966,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-08-44.jpg,MESCHA,0.0483,0.445,,,0.4483,0.7696,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-08-48.jpg,MESBLE,0.6995,0.516,,,0.999,0.9878,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-08-56.jpg,MESCHA,0.798,0.4628,,,1.0,0.9824,
VALIDATION,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-08-58.jpg,MESBLE,0.5096,0.7774,,,0.7445,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-09-28.jpg,SITTOR,0.6784,0.4255,,,1.0,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-09-31.jpg,SITTOR,0.6684,0.2641,,,1.0,0.9913,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-09-39.jpg,MESBLE,0.6483,0.4716,,,0.9216,0.8743,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-10-02.jpg,MESCHA,0.4643,0.4663,,,0.9186,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-10-04.jpg,MESCHA,0.4865,0.4716,,,0.7568,1.0,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-10-11.jpg,MESCHA,0.6016,0.3666,,,1.0,0.9399,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-10-55.jpg,MESNON,0.2842,0.1467,,,0.3628,0.3929,
TRAINING,/home/acarlier/OrnithoMate/p0133_bird_data/raw_data/task_05-01-2021/2021-01-05-16-10-55.jpg,MESCHA,0.6302,0.3699,,,1.0,0.8157,
